"cluster","meanDate"
"1",1379
"10",1379
"100",1378
"101",1378
"102",1378
"103",1378
"104",1379
"105",1379
"106",1378
"107",1379
"108",1378
"109",1378
"11",1379
"110",1378.9696969697
"111",1379
"112",1379
"113",1379
"114",1379
"115",1379
"116",1379
"117",1378
"118",1379
"119",1378
"12",1379
"120",1378.10810810811
"121",1379
"122",1378
"123",1379
"124",1379
"125",1379
"126",1379
"127",1379
"128",1379
"129",1378
"13",1378
"130",1378
"131",1378
"132",1378
"133",1378
"134",1378
"135",1378.85714285714
"136",1379
"137",1379
"138",1379
"139",1379
"14",1378
"140",1379
"141",1379
"142",1378.90909090909
"143",1379
"144",1378
"145",1378
"146",1378
"147",1379
"148",1378
"149",1378
"15",1378
"150",1378
"151",1378
"152",1378
"153",1378
"154",1379
"155",1378
"156",1378
"157",1378
"158",1378
"159",1379
"16",1378
"160",1378
"161",1378
"162",1379
"163",1379
"164",1379
"165",1379
"166",1379
"167",1379
"168",1378
"169",1378
"17",1378
"170",1378
"171",1379
"172",1379
"173",1379
"174",1379
"175",1378
"176",1378
"177",1378
"178",1378
"179",1379
"18",1378
"180",1379
"181",1378
"182",1378
"183",1379
"184",1379
"185",1379
"186",1379
"187",1378
"188",1379
"189",1379
"19",1379
"190",1378
"191",1378
"192",1379
"193",1379
"194",1379
"195",1378
"196",1378
"197",1378
"198",1378
"199",1378
"2",1378.92307692308
"20",1379
"200",1378
"201",1378
"202",1378
"203",1378
"204",1379
"205",1379
"206",1378
"207",1379
"208",1379
"209",1379
"21",1378
"210",1379
"211",1379
"212",1379
"213",1379
"214",1378
"215",1379
"216",1379
"217",1378.09090909091
"218",1379
"219",1379
"22",1378
"220",1379
"221",1379
"222",1379
"223",1379
"224",1378
"225",1378
"226",1378
"227",1378
"228",1378
"229",1378
"23",1378
"230",1378
"231",1379
"232",1379
"233",1379
"234",1378
"235",1378
"236",1378
"237",1379
"238",1378
"239",1378
"24",1378
"240",1379
"241",1378
"242",1378
"243",1379
"244",1379
"245",1378
"246",1379
"247",1379
"248",1378
"249",1379
"25",1378
"250",1379
"251",1379
"252",1379
"26",1378
"27",1379
"28",1379
"29",1379
"3",1379
"30",1378
"31",1378
"32",1378
"33",1379
"34",1378
"35",1379
"36",1379
"37",1379
"38",1379
"39",1379
"4",1378
"40",1378
"41",1378
"42",1378
"43",1378
"44",1377
"45",1378
"46",1377.05882352941
"47",1377.1875
"48",1377.7
"49",1377.3
"5",1378
"50",1377
"51",1378
"52",1377
"53",1377.14285714286
"54",1378
"55",1377.21428571429
"56",1377.35294117647
"57",1377.22222222222
"58",1377.25
"59",1379
"6",1378
"60",1379
"61",1379
"62",1379
"63",1379
"64",1379
"65",1378
"66",1378
"67",1379
"68",1379
"69",1378
"7",1378
"70",1378
"71",1378
"72",1378
"73",1378
"74",1378
"75",1379
"76",1378
"77",1378
"78",1378
"79",1378.03333333333
"8",1378
"80",1378
"81",1378
"82",1378
"83",1379
"84",1379
"85",1378
"86",1379
"87",1378.8
"88",1378
"89",1378
"9",1379
"90",1379
"91",1378
"92",1379
"93",1378
"94",1379
"95",1379
"96",1378
"97",1379
"98",1378
"99",1377.90909090909
