"DHSCLUST","LONGNUM","LATNUM","arabiensis_crop","EVI_Sept_2011_crop","GHA_alt_crop","GHA_popden14_crop","GHA_Roaddist_crop","GHA_waterdist_crop","LC_2011_crop","LST_Day_crop","LST_Night_crop","Nightlights_crop","Rainfall_Sept11_crop","URBAN_RURA","LCType","GRUMP"
1,-2.009094,4.965165,0.115240999634019,0.858768463699328,-0.468868014692674,-0.972993647467614,-0.340839455696105,0.351224171951495,0,-0.388337463026626,-0.474914140799222,-0.851141382740507,-1.03181844848732,"R","crop",1
2,-0.400936,5.793782,0.416808265174278,-0.0366935532031509,0.714270199867318,-0.611220965762754,0.561640200339839,0.200770633934982,0,0.651279247668951,-1.69987434159017,-0.525363797675164,-0.783685874908707,"R","crop",1
3,-1.636748,6.742562,0.226824428927539,-1.68118672735922,0.779330943779319,1.84570680618042,-0.572243635825467,0.796879564330131,0,1.00870827977383,0.435884841827698,1.42777111744266,0.909288005634211,"U","grass",2
4,-0.413996,5.503744,0.659379058521885,0.221626660161724,-1.77844359558103,0.424103938171864,0.873675406256561,-1.59641722000147,0,-0.656190267550283,-0.70915910442426,1.32137196335961,-1.34390025655261,"U","grass",1
5,0.038188,10.554068,0.708690527538068,-0.494422577418893,0.958564100670801,-1.05707483679034,0.668229463538397,-0.0503631706989142,0,0.874778725771831,0.987612509051954,-0.925931194382344,0.581996478170407,"R","crop",1
6,-1.586704,6.725353,0.681519270743008,-0.413816612967647,0.859824716822557,1.86812905241657,0.903268713756722,0.775638748740919,1,1.76084075148487,0.659689384934095,1.27548037663763,0.822325241815582,"U","crop",2
7,-1.154177,5.493283,0.0683917290437735,1.44582603306426,-0.100257606929816,0.107112276836012,0.573889643108272,-0.391932541982897,0,-0.884233890744013,-0.908423462061703,-0.512958617706163,-0.630700985361718,"R","crop",1
8,-1.630634,6.716656,0.549359600458816,-0.325130062443476,0.859222662647548,1.86843986941369,-3.40504136482749,0.967853558874672,1,1.09892999706615,-0.00325191838052213,1.71792629326018,0.908741380743356,"U","urban",2
9,-1.279127,5.692909,0.361698845726331,0.613639629638455,0.337131722361199,-0.318747104195123,-0.587312372147161,0.00664865693702114,1,-0.2142776316556,-0.349644729177378,0.517140282440313,-0.095754129843159,"U","crop",2
10,0.150627,8.679028,0.402036299656884,-1.69982956548355,-0.223585063308722,-1.00549431854866,0.0685677675697128,-3.20552262457442,0,-0.559079093842583,0.198249516588057,-0.914108932702118,1.82747187523942,"R","crop",1
11,-2.505134,8.095318,0.419004872240596,0.113683731123098,0.841732885747977,-0.969372711255985,1.14195252220302,0.940394288179229,0,-0.271423650997837,-0.593809504122019,-0.932034837919164,0.74406062263326,"R","grass",1
