"cluster","meanDate"
"1",1378.54545454545
"10",1377
"101",1378
"102",1378
"103",1377
"104",1380
"105",1379
"106",1379
"107",1379
"108",1379
"109",1378
"11",1377.25
"110",1379.88888888889
"111",1377
"112",1377
"113",1378
"114",1378
"115",1379
"116",1377
"117",1377
"119",1379
"12",1378
"120",1377
"121",1378
"122",1380
"123",1378
"124",1378
"125",1379
"126",1377
"127",1379
"128",1377
"129",1377
"13",1379
"130",1377
"131",1378
"132",1379
"133",1377
"134",1377
"135",1377
"136",1380
"137",1379
"138",1379
"139",1377
"14",1379.2
"140",1379
"141",1378
"142",1379
"143",1378
"144",1379
"145",1377
"146",1377
"147",1377
"148",1378
"149",1377
"15",1377
"150",1377
"151",1377
"152",1377
"153",1377
"154",1380
"155",1379
"156",1378
"157",1378
"158",1378
"159",1379
"16",1379
"161",1378
"162",1377
"163",1380
"164",1379.5
"165",1378
"166",1377
"167",1380
"168",1377
"169",1378
"17",1378
"170",1378
"171",1378
"172",1378
"173",1379
"174",1379
"175",1380
"176",1377.25
"177",1378
"178",1378
"179",1377
"18",1378
"180",1377
"181",1377
"182",1377
"183",1379
"185",1377
"186",1379
"187",1378
"188",1377
"189",1379.16666666667
"19",1379.36363636364
"190",1377
"191",1378
"192",1377
"193",1379
"194",1377
"195",1377
"196",1377
"197",1378
"198",1378
"199",1378
"2",1379
"20",1377
"200",1380
"201",1377
"202",1379
"203",1377
"204",1380
"205",1377
"206",1380
"207",1379
"208",1377
"209",1378
"21",1378
"210",1380
"211",1378
"212",1377.125
"213",1377
"214",1378
"215",1377
"216",1378
"217",1379
"218",1379
"219",1378
"22",1378
"220",1379
"221",1379
"222",1380
"223",1378.63157894737
"224",1378
"225",1377
"226",1377.8
"227",1379
"228",1379
"229",1378
"23",1379.75
"230",1378
"231",1377
"232",1378
"233",1377
"234",1380
"235",1379
"236",1377
"237",1379
"238",1379
"239",1378.16666666667
"24",1377
"240",1379
"241",1377
"242",1379
"243",1377
"244",1378
"245",1377
"246",1378
"247",1377
"248",1377
"249",1379
"25",1377
"250",1377
"251",1379.5
"252",1377
"253",1378
"254",1377
"255",1379
"256",1380
"257",1377
"258",1378
"259",1377
"26",1378
"260",1377
"261",1379
"262",1379
"263",1377
"264",1378
"265",1378
"266",1377
"267",1377
"268",1379.33333333333
"269",1378
"27",1378
"270",1377
"271",1378
"272",1379.94117647059
"273",1378
"274",1377
"275",1379.47368421053
"276",1377
"277",1377
"278",1377
"279",1378.36363636364
"28",1379
"280",1378
"281",1377
"282",1380
"283",1379
"284",1380
"285",1377
"286",1378
"287",1377
"288",1377
"289",1380
"29",1378
"290",1379
"291",1379
"292",1378
"293",1379
"294",1378
"295",1379
"296",1377
"297",1377
"298",1379
"299",1377
"3",1379
"30",1377
"300",1380
"301",1377
"302",1378
"303",1379
"304",1378
"305",1377
"306",1377
"307",1379
"308",1379.4
"309",1379
"31",1377
"310",1378
"311",1378
"312",1377
"313",1379
"314",1379
"315",1379.11111111111
"316",1377
"317",1378
"318",1379
"319",1377
"32",1380
"320",1379
"321",1379
"322",1379
"323",1377
"324",1379
"325",1377
"326",1378
"327",1379
"328",1378
"329",1378
"33",1378
"330",1379
"331",1377
"332",1378
"333",1379
"334",1377
"335",1379
"336",1378
"337",1377
"338",1377
"339",1379
"34",1377
"340",1378
"341",1379
"342",1377
"343",1377
"344",1379
"345",1378
"346",1377
"347",1378
"348",1377
"349",1380
"35",1377
"350",1379
"351",1378
"352",1377
"353",1378
"354",1379
"355",1377
"356",1379
"357",1378
"358",1377.875
"359",1378
"36",1377
"360",1378
"361",1378
"362",1377
"363",1379
"364",1378
"365",1377
"366",1377
"367",1378
"368",1378
"369",1378
"37",1377
"370",1379
"371",1377
"372",1378
"373",1378
"374",1379
"375",1378
"376",1377
"377",1379.125
"378",1377
"379",1378
"38",1377.33333333333
"380",1377
"381",1380
"382",1377.4
"383",1379
"384",1379
"385",1379
"386",1377
"387",1377
"388",1377
"389",1377
"39",1379
"390",1378.66666666667
"391",1377
"392",1377
"393",1379
"394",1378
"395",1377
"396",1378
"397",1378.29411764706
"398",1377
"399",1380
"4",1377
"40",1377
"400",1378
"401",1377.63636363636
"402",1379
"403",1377
"404",1379
"405",1378
"406",1379
"407",1377
"408",1377
"409",1378
"41",1377
"410",1380
"411",1378
"412",1378
"413",1379
"414",1377
"415",1379
"416",1377
"417",1377
"418",1378
"419",1377
"42",1377.75
"420",1379
"421",1377
"422",1377
"423",1379
"424",1378
"425",1379
"426",1377
"427",1379
"43",1379
"44",1377
"45",1378
"46",1378
"47",1379
"48",1377
"49",1378
"5",1380
"50",1379
"51",1378
"52",1380
"53",1377
"54",1378
"55",1379
"56",1377
"57",1379.25
"58",1377
"59",1378
"6",1377
"60",1379
"61",1379
"62",1378.28571428571
"63",1377
"64",1378
"65",1377
"66",1377
"67",1379
"68",1377.83333333333
"69",1380
"7",1378
"70",1378
"71",1378
"72",1380
"73",1378
"74",1377
"75",1378
"76",1378
"77",1378
"78",1377
"79",1379
"8",1378
"80",1378
"81",1380
"82",1377
"83",1377
"84",1379
"85",1380
"86",1377
"87",1378
"88",1378
"89",1377
"9",1378
"90",1377
"91",1377
"92",1378
"93",1377
"94",1377
"95",1378
"96",1378
"97",1379
"98",1377
"99",1378
