"DHSCLUST","LONGNUM","LATNUM","ALT","EVI","LSTD","LSTN","NLIGHT","POPDEN","RDIST","RFALL","WDIST","URBAN_RURA","GRUMP","LCType"
1,8.002321,6.732517,-0.404826103190698,0.383423473775808,-0.127241827768308,1.22579686430938,-0.877833920491156,-0.345779120549361,1.00924437582469,0.131950942178536,0.724173737027447,"R",1,"crop"
2,8.657348,7.247508,-0.277038385972673,1.10136813562381,NA,0.781693095884475,-0.877833920491156,-0.348273058812494,0.957727755053623,-0.0811647691124704,-4.32664778239683,"R",1,"grass"
3,8.489307,7.358567,0.0282540486154311,0.821517298339694,NA,0.504242795495035,-0.877833920491156,-0.352243978585124,0.855506238459334,-0.139559135990085,0.524032654623198,"R",1,"crop"
4,8.890684,6.864353,-0.157466009570701,0.151059673451321,-1.65808572513793,0.857603093959044,-0.877833920491156,-0.352752302520754,0.802784049457862,0.110852873944696,-0.143489251126821,"R",1,"crop"
5,8.345339,6.950979,-0.341365471878708,1.11171540544642,-0.463354223706495,0.153448589985869,-0.877833920491156,-0.333212884821965,0.605227091530064,0.0173431504635948,0.384180275178528,"U",2,"urban"
6,7.845279,7.125691,0.10180535743782,1.16114905618894,-1.33090102311356,-0.256868938331095,-0.877833920491156,-0.337583995474751,0.800918811321279,-0.174325376785146,0.405494514178026,"R",1,"crop"
7,9.607372,7.753443,0.158248362049594,0.0580106140440669,-0.713836848212523,0.214330869367726,-0.877833920491156,-0.346385161199868,0.94726788359948,0.0586635523767894,0.27863145733186,"R",1,"crop"
8,8.553325,7.756097,-0.22173061448665,-1.25128066763348,NA,0.063797105051468,1.1458191537822,-0.0190332800831668,0.00441297171808434,-0.197755778976002,-0.125037891354412,"R",1,"crop"
9,7.175687,9.078009,0.497359347344583,0.683539121994427,-0.79172207931626,0.177059993266894,0.588716786747159,-0.336206240574122,0.0930432698432567,0.102382398638979,0.737444720086622,"R",1,"crop"
10,7.320356,9.088659,0.685364302440536,0.429588403196066,-1.04333823205867,-0.296603465594148,1.16170668495198,-0.273775651090208,-0.0346834860653586,0.21192891331049,-1.57947302024527,"R",1,"crop"
