"cluster","meanDate"
"1",1331
"10",1332
"100",1330
"101",1332
"102",1331
"103",1330
"104",1330
"105",1330
"106",1330
"107",1330
"108",1330
"109",1330
"11",1331.28571428571
"110",1332
"111",1331
"112",1331
"113",1330
"114",1331
"115",1331
"116",1331
"117",1330
"118",1330
"119",1330
"12",1331
"120",1330
"121",1331
"122",1331
"123",1331
"124",1331
"125",1331
"126",1331
"127",1331
"128",1330
"129",1330
"13",1331
"130",1331
"131",1330
"132",1331
"133",1330
"134",1330
"135",1330
"136",1330
"137",1332
"138",1332
"139",1331
"14",1331.19047619048
"140",1332
"141",1331
"142",1332
"143",1331
"144",1331
"145",1331
"146",1331
"147",1331
"148",1331
"149",1331
"15",1331
"150",1331
"151",1331
"152",1331
"153",1330.22222222222
"154",1330
"155",1330
"156",1330
"157",1330
"158",1330
"159",1330
"16",1331
"160",1330
"161",1331
"162",1331
"163",1331
"164",1331
"165",1331
"166",1331
"167",1331
"168",1331
"169",1330.24
"17",1331
"170",1330
"171",1330
"172",1330
"173",1330
"174",1330
"175",1330
"176",1330
"177",1330
"178",1331
"179",1331
"18",1331
"180",1331
"181",1331
"182",1331
"183",1331
"184",1330.94736842105
"185",1331
"186",1330
"187",1330
"188",1330
"189",1330
"19",1330
"190",1330
"191",1330
"192",1331
"193",1331
"194",1331
"195",1331
"196",1331
"197",1331
"198",1331
"199",1331
"2",1330
"20",1330
"200",1331
"201",1330
"202",1330
"203",1330
"204",1330
"205",1331
"206",1331
"207",1331.44444444444
"208",1331
"209",1331
"21",1331
"210",1331
"211",1331
"212",1331
"213",1330
"214",1331
"215",1331
"216",1331
"217",1330
"218",1330
"219",1330
"22",1330
"220",1330
"222",1330
"223",1331
"224",1330
"225",1331
"226",1331
"227",1330
"228",1331
"229",1331
"23",1330
"230",1331
"231",1331
"232",1331
"233",1332
"234",1331
"235",1332
"236",1331
"237",1331
"238",1332
"239",1331
"24",1331
"240",1331.82608695652
"25",1331
"26",1331
"27",1331
"28",1332
"29",1332
"3",1330
"30",1332
"31",1332
"32",1331
"33",1331
"34",1331
"35",1330
"36",1330
"37",1330
"38",1330
"39",1330
"4",1330
"40",1330
"41",1332
"42",1331.9375
"43",1331
"44",1332
"45",1332
"46",1331.37142857143
"47",1332
"48",1330.48571428571
"49",1331
"5",1331
"50",1330
"51",1331
"52",1330
"53",1330
"54",1331
"55",1330
"56",1330
"57",1331
"58",1330.93548387097
"59",1331
"6",1331
"60",1332
"61",1331
"62",1331
"63",1330
"64",1330
"65",1331
"66",1332
"67",1331
"68",1331
"69",1332
"7",1330
"70",1332
"71",1331.1935483871
"72",1331.94444444444
"73",1332
"74",1332
"75",1332
"76",1330
"77",1330
"78",1330
"79",1330
"8",1330
"80",1330
"81",1330
"82",1330
"83",1330
"84",1330
"85",1332
"86",1331
"87",1331
"88",1331
"89",1330.96774193548
"9",1331
"90",1332
"91",1331
"92",1331
"93",1331
"94",1331
"95",1330
"96",1331
"97",1331
"98",1331
"99",1331
