"cluster","meanDate"
"1",1368
"10",1367
"100",1370
"101",1368
"102",1367.5
"103",1372
"104",1368
"105",1368
"106",1370
"107",1368
"108",1371
"109",1372
"11",1370
"110",1368
"111",1369
"112",1368
"113",1368
"114",1369
"115",1370
"116",1370
"117",1367
"118",1368
"119",1368
"12",1367.88888888889
"120",1369
"121",1369.9
"122",1369
"123",1371
"124",1368
"125",1368
"126",1369
"127",1371
"128",1369
"129",1369
"13",1368
"130",1371
"131",1370
"132",1369.84210526316
"133",1370
"134",1369
"135",1367.55555555556
"136",1367
"137",1368
"138",1369.85714285714
"139",1367.72222222222
"14",1371
"140",1369
"141",1371
"142",1370
"143",1367
"144",1367
"145",1369
"146",1370
"147",1369
"148",1367
"149",1370
"15",1367.625
"150",1371
"151",1369
"152",1369
"153",1368
"154",1370
"155",1371
"156",1368
"157",1371
"158",1368
"159",1369
"16",1370
"160",1371
"161",1369.57142857143
"162",1369
"163",1371
"164",1367
"165",1370
"166",1371
"167",1368
"168",1372
"169",1368
"17",1367
"170",1369
"171",1370
"172",1370
"173",1370
"174",1371
"175",1368
"176",1368
"177",1371
"178",1368
"179",1367.11111111111
"18",1371
"180",1368
"181",1369
"182",1368
"183",1369
"184",1370
"185",1368
"186",1371
"187",1367
"188",1369
"189",1370
"19",1370
"190",1371
"191",1372
"192",1367.64285714286
"193",1371
"194",1371
"195",1368
"196",1369
"197",1368
"198",1370
"199",1369
"2",1371
"200",1368
"201",1368
"202",1369
"203",1367
"204",1369.75
"205",1372
"206",1368
"207",1368
"208",1370.25
"209",1368
"21",1367.71428571429
"210",1369
"211",1372
"212",1367
"213",1370
"214",1367
"215",1371
"216",1369
"217",1367
"218",1367
"219",1370
"22",1369
"220",1368
"221",1369
"222",1368
"223",1367
"224",1367
"225",1370
"226",1370
"227",1369
"228",1370
"229",1371
"23",1369
"230",1369
"231",1368
"232",1370
"233",1368
"234",1369
"235",1371
"236",1367
"237",1371
"238",1369
"239",1367
"24",1372
"240",1367.8
"241",1372
"242",1370
"243",1369
"244",1370
"245",1369
"246",1368
"247",1370
"248",1370.625
"249",1368
"25",1368
"250",1370
"251",1368
"252",1369
"253",1371
"254",1371
"255",1367.66666666667
"256",1369
"257",1369
"258",1370
"259",1369
"26",1367
"260",1369
"261",1368
"262",1369
"263",1367
"264",1369
"265",1370.6
"266",1367.3
"267",1367
"268",1368
"269",1371
"27",1370
"270",1369
"271",1371
"272",1368
"273",1369
"274",1369.55555555556
"275",1368.6
"276",1367
"277",1371
"278",1369
"279",1370
"28",1370.16666666667
"280",1370
"281",1370.77777777778
"282",1367
"283",1369
"284",1370
"285",1368
"286",1367
"287",1370
"288",1371
"289",1370
"29",1367
"290",1371
"291",1369
"292",1371
"293",1370
"294",1367
"295",1368
"296",1371
"297",1370
"298",1368
"299",1369
"3",1371
"30",1368
"300",1371
"301",1368
"302",1371
"303",1367.81818181818
"304",1371
"305",1369
"306",1368
"307",1368
"308",1367.42857142857
"309",1371
"31",1367
"310",1368
"311",1370.88888888889
"312",1368
"313",1369
"314",1367
"315",1369
"316",1369.88888888889
"317",1369
"318",1367
"319",1369
"32",1369
"320",1371
"321",1369
"322",1367
"323",1369
"324",1367
"325",1367
"326",1367
"327",1367
"328",1370
"329",1367
"33",1367
"330",1370
"34",1368
"35",1371
"36",1369
"37",1369
"38",1367
"39",1371
"4",1368
"40",1369
"41",1368
"42",1369
"43",1371
"44",1368
"45",1368
"46",1371
"47",1370
"48",1368
"49",1369
"5",1368
"50",1370
"51",1370.06666666667
"52",1368
"53",1371
"54",1369
"55",1367.88888888889
"56",1367.83333333333
"57",1367
"58",1369
"59",1368
"6",1369
"60",1370
"61",1371
"62",1370
"63",1368.66666666667
"64",1367
"65",1369
"66",1370
"67",1370
"68",1371
"69",1369
"7",1370
"70",1369
"71",1368
"72",1371
"73",1367
"74",1369
"75",1370
"76",1370
"77",1368
"78",1368
"79",1369
"8",1369
"80",1368
"81",1369
"82",1370
"83",1367.92307692308
"84",1367.76923076923
"85",1368
"86",1370
"87",1370
"88",1368
"89",1369
"9",1369
"90",1369
"91",1369
"92",1371
"93",1367
"94",1367
"95",1369
"96",1369
"97",1367
"98",1369
"99",1368
